sample_group,platform,product_id,review_id,skin_type,base_skin_type,skin_type_tags,skin_need_tags,skin_type_normalization_status,skin_concern,skin_concern_tags,skin_concern_codes,skin_concern_normalization_status
top_skin_type_samples,oliveyoung,A000000197743,58411870,,,[],[],missing,,,,
top_skin_type_samples,musinsa,4265743,musinsa_4265743_bb5e212a,nan,,[],[],missing,,,,
top_skin_type_samples,oliveyoung,A000000232724,59650673,지성,지성,['지성'],[],ok,,,,
top_skin_type_samples,oliveyoung,A000000205435,43692231,복합성,복합성,['복합성'],[],ok,,,,
top_skin_type_samples,oliveyoung,A000000185112,36578381,건성,건성,['건성'],[],ok,,,,
top_skin_type_samples,musinsa,2570504,musinsa_2570504_d74a9caa,복합성 · 진정/보습,복합성,['복합성'],"['진정', '보습']",ok,,,,
top_skin_type_samples,oliveyoung,A000000190369,28781790,민감성,민감성,['민감성'],[],ok,,,,
top_skin_type_samples,musinsa,3376843,musinsa_3376843_33407e13,건성 · 진정/보습,건성,['건성'],"['진정', '보습']",ok,,,,
top_skin_type_samples,musinsa,3505072,musinsa_3505072_329fab50,지성 · 진정/보습,지성,['지성'],"['진정', '보습']",ok,,,,
top_skin_type_samples,musinsa,6239507,musinsa_6239507_614a4fd3,복합성 · 모공,복합성,['복합성'],['모공'],ok,,,,
top_skin_type_samples,musinsa,3462426,musinsa_3462426_edddacec,복합성 · 유수분조절,복합성,['복합성'],['유수분 조절'],ok,,,,
top_skin_type_samples,musinsa,3417533,musinsa_3417533_215a5718,복합성 · 진정/보습 · 모공 · 여드름,복합성,['복합성'],"['진정', '보습', '모공', '트러블']",ok,,,,
top_skin_type_samples,musinsa,6239322,musinsa_6239322_3ca7f915,민감성 · 진정/보습,민감성,['민감성'],"['진정', '보습']",ok,,,,
top_skin_type_samples,musinsa,2172345,musinsa_2172345_b2fa0016,복합성 · 진정/보습 · 모공 · 유수분조절,복합성,['복합성'],"['진정', '보습', '모공', '유수분 조절']",ok,,,,
top_skin_type_samples,musinsa,2632600,musinsa_2632600_64d7966a,복합성 · 여드름,복합성,['복합성'],['트러블'],ok,,,,
top_skin_type_samples,musinsa,1532646,musinsa_1532646_4c245f23,지성 · 여드름,지성,['지성'],['트러블'],ok,,,,
top_skin_type_samples,musinsa,6183155,musinsa_6183155_633094ba,복합성 · 진정/보습 · 유수분조절,복합성,['복합성'],"['진정', '보습', '유수분 조절']",ok,,,,
top_skin_type_samples,musinsa,1619465,musinsa_1619465_0d3f8ac1,복합성 · 진정/보습 · 여드름 · 유수분조절,복합성,['복합성'],"['진정', '보습', '트러블', '유수분 조절']",ok,,,,
top_skin_type_samples,musinsa,4485242,musinsa_4485242_c0585e7c,지성 · 진정/보습 · 모공 · 여드름,지성,['지성'],"['진정', '보습', '모공', '트러블']",ok,,,,
top_skin_type_samples,musinsa,2496302,musinsa_2496302_b2cb5b37,지성 · 유수분조절,지성,['지성'],['유수분 조절'],ok,,,,
random_skin_type_samples,oliveyoung,A000000205435,43692231,복합성,복합성,['복합성'],[],ok,,,,
random_skin_type_samples,musinsa,5848372,musinsa_5848372_490859a1,복합성 · 진정/보습,복합성,['복합성'],"['진정', '보습']",ok,,,,
random_skin_type_samples,musinsa,2959816,musinsa_2959816_8fd008a9,건성 · 진정/보습 · 모공 · 유수분조절,건성,['건성'],"['진정', '보습', '모공', '유수분 조절']",ok,,,,
random_skin_type_samples,musinsa,2637406,musinsa_2637406_cfa77e11,복합성 · 진정/보습 · 모공 · 미백,복합성,['복합성'],"['진정', '보습', '모공', '미백']",ok,,,,
random_skin_type_samples,musinsa,6213430,musinsa_6213430_c0f99318,건성 · 진정/보습 · 유수분조절 · 미백,건성,['건성'],"['진정', '보습', '유수분 조절', '미백']",ok,,,,
random_skin_type_samples,oliveyoung,A000000185112,36578381,건성,건성,['건성'],[],ok,,,,
random_skin_type_samples,musinsa,1619465,musinsa_1619465_0d3f8ac1,복합성 · 진정/보습 · 여드름 · 유수분조절,복합성,['복합성'],"['진정', '보습', '트러블', '유수분 조절']",ok,,,,
random_skin_type_samples,musinsa,2570504,musinsa_2570504_d74a9caa,복합성 · 진정/보습,복합성,['복합성'],"['진정', '보습']",ok,,,,
random_skin_type_samples,musinsa,4485242,musinsa_4485242_c0585e7c,지성 · 진정/보습 · 모공 · 여드름,지성,['지성'],"['진정', '보습', '모공', '트러블']",ok,,,,
random_skin_type_samples,musinsa,4701719,musinsa_4701719_3fd41dfe,복합성 · 진정/보습 · 미백,복합성,['복합성'],"['진정', '보습', '미백']",ok,,,,
random_skin_type_samples,oliveyoung,A000000254406,59732218,지성,지성,['지성'],[],ok,,,,
random_skin_type_samples,musinsa,3098201,musinsa_3098201_ec8ef9b9,복합성 · 여드름 · 유수분조절 · 진정/보습,복합성,['복합성'],"['트러블', '유수분 조절', '진정', '보습']",ok,,,,
random_skin_type_samples,oliveyoung,A000000232724,59650673,지성,지성,['지성'],[],ok,,,,
random_skin_type_samples,musinsa,2172345,musinsa_2172345_b2fa0016,복합성 · 진정/보습 · 모공 · 유수분조절,복합성,['복합성'],"['진정', '보습', '모공', '유수분 조절']",ok,,,,
random_skin_type_samples,oliveyoung,A000000190369,28781790,민감성,민감성,['민감성'],[],ok,,,,
random_skin_type_samples,musinsa,3775064,musinsa_3775064_cc336937,복합성 · 탄력 · 진정/보습,복합성,['복합성'],"['탄력', '진정', '보습']",ok,,,,
random_skin_type_samples,musinsa,4240698,musinsa_4240698_98454150,복합성 · 모공 · 진정/보습 · 유수분조절,복합성,['복합성'],"['모공', '진정', '보습', '유수분 조절']",ok,,,,
random_skin_type_samples,oliveyoung,A000000205004,32076115,건성,건성,['건성'],[],ok,,,,
random_skin_type_samples,musinsa,2172345,musinsa_2172345_9192cabc,복합성 · 진정/보습 · 여드름 · 모공,복합성,['복합성'],"['진정', '보습', '트러블', '모공']",ok,,,,
random_skin_type_samples,musinsa,3505072,musinsa_3505072_329fab50,지성 · 진정/보습,지성,['지성'],"['진정', '보습']",ok,,,,
no_base_skin_type_samples,musinsa,2959816,musinsa_2959816_1c00ad65,진정/보습 · 유수분조절,,[],"['진정', '보습', '유수분 조절']",no_base_skin_type,,,,
no_base_skin_type_samples,musinsa,6330688,musinsa_6330688_8df43d13,진정/보습,,[],"['진정', '보습']",no_base_skin_type,,,,
no_base_skin_type_samples,musinsa,2638240,musinsa_2638240_cc3273e0,모공,,[],['모공'],no_base_skin_type,,,,
