sample_group,platform,product_key,product_id,review_id,product_name,brand,category,rating,review_text,sentiment_label,lstm_v3_pred,predicted_sentiment,skin_type,base_skin_type,skin_type_tags,skin_need_tags,skin_type_normalization_status,skin_concern,skin_concern_tags,skin_concern_codes,skin_concern_normalization_status
merge_check_samples,musinsa,musinsa::6239322,6239322,musinsa_6239322_4869eb7c,스킨 베리어 카밍 로션 이엑스 220ml,ongredients,beauty,5.0,"몇통째 구매인지 모르겟어요!
메이크업도 잘 먹지만 평소에 아침에 스킨바르고 얘만 두,세겹 바르고 선크림 바르는데",positive,positive,positive,복합성 · 진정/보습,복합성,['복합성'],['진정' '보습'],ok,,[],[],missing
merge_check_samples,musinsa,musinsa::1246381,1246381,musinsa_1246381_0bc5da4a,[+바디워시 증정] 퍼퓸 데오 바디스프레이 200ml 프레쉬향,dashu,beauty,5.0,이거 한 6개월 정도 쓰고 있는데 냄새 질리지도 않고 너무 좋아요! 포근해요,positive,positive,positive,nan,,[],[],missing,,[],[],missing
merge_check_samples,musinsa,musinsa::2150772,2150772,musinsa_2150772_e98499e9,빠지는 모발 고민해결 두피강화 샴푸 400ml + 증정,laboh,beauty,5.0,머리가 많이 빠진 아빠가 생각나서 한번 사봤어요 효과가 있었으면 좋겠네요,positive,positive,positive,nan,,[],[],missing,,[],[],missing
merge_check_samples,musinsa,musinsa::4981848,4981848,musinsa_4981848_a47fcc87,레드수딩 시카밸런스 크림 80ml,physiogel,beauty,5.0,촉촉하고 유수분 잘 잡아주는거 같아서 좋습니다. 복합성 피부에 잘 맞는거 같아요,positive,positive,positive,복합성 · 미백,복합성,['복합성'],['미백'],ok,,[],[],missing
merge_check_samples,musinsa,musinsa::5114507,5114507,musinsa_5114507_a30ce9fe,이지온 세미 오버핏 스트라이프 카라 반팔 니트 (4color),workonbodyoff,beauty,5.0,밑에 시보리가 짱짱해서 체형을 잘 잡아줍니다. 최고!,positive,positive,positive,nan,,[],[],missing,,[],[],missing
merge_check_samples,musinsa,musinsa::2959816,2959816,musinsa_2959816_14a80ae4,[SET] 다이브인 저분자 히알루론산 세럼 50ml+40ml (+시카컨트롤세럼 10ml),torriden,beauty,5.0,수분감 짱짱하고 편하게 바르기 너무 좋습니다 추천,positive,positive,positive,복합성 · 진정/보습 · 미백 · 여드름,복합성,['복합성'],['진정' '보습' '미백' '트러블'],ok,,[],[],missing
merge_check_samples,musinsa,musinsa::3802486,3802486,musinsa_3802486_01ece699,[3PACK]베이비마일드 오가닉 립밤 4g,drbronners,beauty,5.0,자주 써요 오가닉이라 추천드려요 건조하지 않아요,positive,positive,positive,민감성 · 미백,민감성,['민감성'],['미백'],ok,,[],[],missing
merge_check_samples,coupang,coupang::coupang_1423124805,coupang_1423124805,coupang_892033735,"차앤박 톤 업 프로텍션 선크림 SPF42 PA+++, 50ml, 1개39%29,000원17,500원(10ml",,beauty,5.0,"본제푼은 소장의 지원을 받아 작성되었으며, 솔직한 후기를 담고 있습니다.

차앤박 제품은 피부에 좋잖아요^^
눈 시림때문에 아무거나 못쓰눈데 시림1도 없구요.
톤업도 저연스럽게 되어 만족해요
발림성도 꾸덕함도 적당해요.",positive,positive,positive,,,[],[],missing,,[],[],missing
merge_check_samples,oliveyoung,oliveyoung::A000000188019,A000000188019,24441663,[1매/5종] 아비브 껌딱지 시트 마스크 스티커 1매 (어성초/수분초/마데카소사이드/콜라겐밀크/비타),아비브,maskpack,5.0,히알루론산 마스크팩이라 그런지 더 촉촉해요 피부 수분감 채워줘요,positive,positive,positive,지성,지성,['지성'],[],ok,"주름, 모공",['주름' '모공'],[],ok
merge_check_samples,coupang,coupang::coupang_7240689331,coupang_7240689331,coupang_689597052,"시세이도 스팟 커버 파운데이션 20g, S100, 1개14,000원17%11,590원(10g당 5,795원)",,beauty,5.0,"그동안 그리찾던 커버용쿠션

이건 쿠션은 아니고 파운데이션처럼 쓰는거긴한데
워낙 잡티가 잘 가려저서 쿠션보다 솔직히 굉장히 호 입니다

다만 한꺼번에 많이 묻혀 커버하려하기보다는

조금씩 정성껏 묻혀 얼굴에 잘 두둘겨 주어야 합니자
왜 예전에 어머님들이 그렇게 시세이도를 썼는지
이제아 이해가 되더라구요

급한마음에 한꺼번에 많이 묻혀 사용하게되면
잘 안펴발라지고
두껍고 촌스런 화장이 되어버린답니다

요런점만 주의하시고 사용하심  될듯 합니다.

✅️장점:커버력이좋다,적은양에 오래쓴다,꾸덕하다

✅️단점: 실수로라도 많이 찍게되어 바르게되면 가부끼 분장이됨",positive,neutral,neutral,,,[],[],missing,,[],[],missing
merge_check_samples,oliveyoung,oliveyoung::A000000162279,A000000162279,58107702,[1등필링/화잘먹] 닥터지 브라이트닝 필링젤 기획 (120g+60g+히알시카세럼2ml/120g+120g+10g),닥터지,cleansing,4.0,좋아요 장러ㅓ러어어어처ㅓ터너코어어터너너타ㅓㅊ처챠ㅑㅊ챠차챷,positive,positive,positive,,,[],[],missing,,[],[],missing
merge_check_samples,coupang,coupang::coupang_6641056251,coupang_6641056251,coupang_773572790,BEST AWARDS설명쿠팡 로켓배송 상품 중2025 연간쿠팡 어워즈를 수상한 제품입니다.카테고리:뷰티 기초,,beauty,5.0,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.

제가 체험단을 통해 사용해 본 솔직한 후기입니다.

(1) 체험단 신청 이유
평소 어머님께서 AHC 브랜드를 꾸준히 사용하고 계셔서, 이번 기회에 기초 화장품 세트를 직접 사용해보고 싶어 신청하게 되었습니다.

(2) 사용 후기
✅가성비 뛰어난 구성
세럼, 크림, 스킨, 로션 등 기초 케어에 필요한 제품이 모두 포함된 5종 세트임에도 가격이 부담스럽지 않아 만족도가 높았습니다. 사용감도 무난하고, 전반적으로 피부에 순하게 흡수되는 편이었습니다.

✅고급스러운 패키징
외관 패키지 디자인이 깔끔하고 고급스러워, 선물용으로도 매우 적합한 제품입니다. 부모님이나 친척 등 연령대 있는 분들께 드리기에 부담 없는 선택이라 생각합니다.

✅높은 구매 만족도
실제로 확인해 보니 별점 5점 비율이 80% 이상일 정도로 만족도가 높은 제품이며, 실사용 후기를 참고해도 기초 세트 입문용으로 적합하다는 의견이 많았습니다.

❌단점
별도로 아쉬운 점은 없었습니다. 기본에 충실한 구성이며, 기대 이상의 품질을 보여주는 제품이라 평가하고 싶습니다.

(3) 총평
부담 없는 가격에 기초 케어를 한 번에 해결할 수 있는 실속형 세트입니다.
선물용이나 입문용 기초 화장품으로 모두 추천드립니다~!⭐️⭐️⭐️⭐️⭐️",positive,positive,positive,,,[],[],missing,,[],[],missing
merge_check_samples,oliveyoung,oliveyoung::A000000233497,A000000233497,59421038,"[증정이벤트/탄력광채수분진정] 웰더마 겔마스크팩 4매, 4종 택1 (콜라겐/시카/레티놀/PDRN)",웰더마,maskpack,4.0,"잘 받았습니다. 
마스크 팩은 무조건 행사할때 구매해 둡니다.",positive,positive,positive,,,[],[],missing,,[],[],missing
merge_check_samples,oliveyoung,oliveyoung::A000000219609,A000000219609,58278221,[대용량/트러블1등] 파티온 노스카나인 트러블 세럼 50ml 리필 기획(+리필40ml+크림10ml),파티온,skincare,1.0,마케팅에 당해버림! ㅋㅋㅋ 이거쓰고 여드름 안날까 기대돼서 사봤는데 아무런 변화도 없었더고 한다! 그리고 예민피구에게는 가끔 따가움 ㅜㅜ,negative,negative,negative,,,[],[],missing,,[],[],missing
merge_check_samples,oliveyoung,oliveyoung::A000000209910,A000000209910,58937328,제로이드 포밍 클렌저 240ml,제로이드,cleansing,5.0,너무 사용하기 편해서 진작 이걸로 다 살 걸 그랬어요 완전 정착템입니다!,positive,positive,positive,,,[],[],missing,,[],[],missing
merge_check_samples,coupang,coupang::coupang_9367006601,coupang_9367006601,coupang_855300363,nan,,beauty,5.0,"우리집 온가족 사용하는
아토세이프 세라제닉 365+카밍 선세럼 SPF50+ PA++++
사실 선크림은 사계절 내내 발라야한다고 하고
연예인들 보면 집안 형광등 아래에서도 선크림을 바르던데
솔직히 그정도까지는 못하지만
이제 겨울이 지나고 따사로운 봄날 챙겨바르려고
얼른 주문했어요~

부드럽고 촉촉하게 발려지고
백탁은 전혀 없어요.
워터리 텍스춰라 뻑뻑하지 않고 잘 발리는것도 좋고
저자극 포뮬러라 자극없이 부담없이 챙겨바르기도 좋네요!

단순히 선크림으로 자외선 차단만 하는게 아닌
피부장벽까지 신경써야한다면
아토세이프 세라제닉 365+카밍 선세럼 SPF50+ PA++++ 강추!",positive,positive,positive,,,[],[],missing,,[],[],missing
merge_check_samples,oliveyoung,oliveyoung::A000000180141,A000000180141,18317049,[수분선스틱]닥터지 레드 블레미쉬 수딩 업 선스틱 21g,닥터지,suncare,3.0,"📌 장점
1. 크림 타입보다 쓱쓱 바르기 편하다 : 시간 절약
2. 역시 닥터지. 유해 성분 / 알레르기 성분 없이 무해하다.
3. 보송보송하게 마무리 된다.
4. 곧 여름인데 작고 휴대성도 좋아서 팔, 목 등 바르기 편할듯 하다!

📌 단점
1. 내용물에 먼지가 엄청 잘 붙는다.
2. 여러번 덧발라야 한다. 크림만큼 촥촥 흡수되는 느낌이 부족하다.
3. 바를 때 드문드문 지우개 가루처럼 뭉쳐서 나온다..",neutral,neutral,neutral,지성,지성,['지성'],[],ok,"홍조, C12",['홍조'],['C12'],ok
merge_check_samples,oliveyoung,oliveyoung::A000000226493,A000000226493,55977701,[저자극클렌저] 메디큐브 PDRN 젤투폼 클렌저 200ml 기획(+클렌징브러쉬 증정),메디큐브,cleansing,3.0,"저한텐 좀 자극이 있는지 피부 뒤집어질 뻔 했어요.
조금씩 붉어지고 건조해지길래 사용 중단했습니다.",negative,negative,negative,,,[],[],missing,,[],[],missing
merge_check_samples,musinsa,musinsa::5693203,5693203,musinsa_5693203_bcaae4a0,[3개부터 구매가능] 퍼퓸드 핸드크림 미스틱 우드 30ml,musinsastandardbt,beauty,5.0,우디한 향이 생각보다 엄청 좋아요 추천드립니다!,positive,positive,positive,복합성 · 진정/보습,복합성,['복합성'],['진정' '보습'],ok,,[],[],missing
merge_check_samples,musinsa,musinsa::4307508,4307508,musinsa_4307508_edb0c94b,[10ml 추가 증정] 레이저 UV 썬스크린 50ml+50ml,cellfusionc,beauty,5.0,"셀퓨전씨 UV 선스크린
부드럽게 발림성 좋고 촉촉합니다
백탁도 없어 슥슥 바르기 좋아요",positive,positive,positive,복합성 · 탄력 · 진정/보습,복합성,['복합성'],['탄력' '진정' '보습'],ok,,[],[],missing
