loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_precision,eval_macro_recall,eval_macro_f1,eval_negative_recall,eval_neutral_recall,eval_positive_recall,eval_negative_f1,eval_neutral_f1,eval_positive_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6743173768915863,38.15754699707031,1.77779986526632e-05,1.0,20122,,,,,,,,,,,,,,,,,,,
,,,1.0,20122,0.596341609954834,0.9595840373720306,0.7932985108746532,0.7234707877553541,0.7355872511669302,0.9188719593691527,0.2623143080531665,0.9892260958437429,0.855844640856467,0.3639815568212639,0.98693555582306,385.4143,208.835,13.053,,,,,
0.5475169823451943,29.96776008605957,1.3333554208218755e-05,2.0,40244,,,,,,,,,,,,,,,,,,,
,,,2.0,40244,0.556658923625946,0.9622925156545075,0.7940908508277467,0.7782976853036884,0.7859973611630752,0.8444266238973537,0.4988272087568413,0.9916392232568703,0.8653016503458194,0.5039494470774092,0.9887409860659973,391.2138,205.739,12.86,,,,,
0.46918868146493886,0.553450345993042,8.88910976377431e-06,3.0,60366,,,,,,,,,,,,,,,,,,,
,,,3.0,60366,0.6519825458526611,0.9635722095219164,0.7962110612821761,0.77505502459613,0.784467084783092,0.880379577653034,0.45387021110242376,0.9909152850329321,0.8726815050344462,0.49163667160702945,0.9890830777078006,386.7591,208.109,13.008,,,,,
0.36176243857780044,0.15922273695468903,4.444665319329866e-06,4.0,80488,,,,,,,,,,,,,,,,,,,
,,,4.0,80488,0.87312251329422,0.9636840274326608,0.797902346220739,0.7790455278486066,0.7878509122736291,0.8712910986367282,0.47458952306489444,0.9912559618441972,0.870883708503106,0.5034211071946921,0.9892479211230893,388.7001,207.07,12.943,,,,,
0.246532989583851,0.19345833361148834,2.208748854211532e-10,5.0,100610,,,,,,,,,,,,,,,,,,,
,,,5.0,100610,1.0246646404266357,0.9629634231189742,0.7943657539379583,0.772017257377018,0.7825897705687187,0.8612670408981555,0.4628616106333073,0.9919231205995912,0.8683465840183263,0.49037067715883204,0.9890520505289976,393.3811,204.606,12.789,,,,,
,,,5.0,100610,,,,,,,,,,,,,,,24431.2864,65.889,4.118,1.0850468660887918e+17,0.45986369377267416
